Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Description,Manufacturer,Note,Note:,Part Number
1,26,"C1, C3, C5, C7, C11, C24, C29, C33, C34, C35, C36, C37, C38, C39, C40, C45, C47, C55, C57, C60, C63, C65, C66, C67, C115, C125",33pF,Device:C,hackrf:GSG-0402,~,CAP CER 33PF 50V 5% NP0 0402,Murata,,,GRM1555C1H330JA01D
2,17,"C2, C4, C6, C10, C16, C19, C22, C30, C54, C56, C87, C88, C89, C92, C93, C162, C163",10nF,Device:C,hackrf:GSG-0402,~,CAP CER 10000PF 16V 10% X7R 0402,Murata,,,GRM155R71C103KA01D
3,3,"C97, C98, C100",330nF,Device:C,hackrf:GSG-0402,~,CAP CER 0.33UF 10V 10% X5R 0402,Murata,,,GRM155R61A334KE15D
4,12,"C8, C21, C32, C43, C48, C51, C84, C85, C86, C94, C99, C102",22pF,Device:C,hackrf:GSG-0402,~,CAP CER 22PF 50V 5% NP0 0402,Murata,,,GRM1555C1H220JA01D
5,2,"C104, C111",3pF,Device:C,hackrf:GSG-0402,~,CAP CER 3PF 50V NP0 0402,Murata,,,GRM1555C1H3R0CA01D
6,6,"C105, C126, C127, C143, C145, C146",10uF,Device:C,hackrf:GSG-0805,~,CAP CER 10UF 10V 10% X5R 0805,Murata,,,GRM21BR61A106KE19L
7,4,"C53, C106, C161, C171",1uF,Device:C,hackrf:GSG-0402,~,CAP CER 1UF 10V 10% X5R 0402,Taiyo Yuden,,,LMK105BJ105KV-F
8,2,"C15, C112",180pF,Device:C,hackrf:GSG-0402,~,CAP CER 180PF 50V 5% NP0 0402,Murata,,,GRM1555C1H181JA01D
9,57,"C9, C17, C18, C20, C23, C25, C28, C31, C44, C46, C49, C50, C58, C59, C61, C62, C64, C71, C73, C75, C77, C79, C81, C83, C91, C113, C119, C120, C121, C122, C123, C128, C129, C130, C131, C132, C133, C134, C135, C136, C137, C138, C139, C140, C141, C142, C144, C147, C148, C149, C150, C151, C152, C153, C154, C166, C167",100nF,Device:C,hackrf:GSG-0402,~,CAP CER 0.1UF 10V 10% X5R 0402,Murata,,,GRM155R61A104KA01D
10,1,C114,3.3nF,Device:C,hackrf:GSG-0402,~,CAP CER 3300PF 50V 10% X7R 0402,Murata,,,GRM155R71H332KA01D
11,3,"C26, C27, C116",47pF,Device:C,hackrf:GSG-0402,~,CAP CER 47PF 50V 5% NP0 0402,Murata,,,GRM1555C1H470JA01D
12,4,"C118, C157, C158, C164",18pF,Device:C,hackrf:GSG-0402,~,CAP CER 18PF 50V 5% NP0 0402,Murata,,,GRM1555C1H180JA01D
13,2,"C12, C13",330pF,Device:C,hackrf:GSG-0402,~,CAP CER 330PF 50V 10% X7R 0402,Murata,,,GRM155R71H331KA01D
14,7,"C72, C74, C76, C78, C80, C82, C124",2.2uF,Device:C,hackrf:GSG-0402,~,CAP CER 2.2UF 10V 20% X5R 0402,Taiyo Yuden,,,LMK105BJ225MV-F
15,1,C14,8p2,Device:C,hackrf:GSG-0402,~,CAP CER 8.2PF 50V NP0 0402,Taiyo Yuden,,,UMK105CG8R2DV-F
16,6,"C41, C42, C52, C70, C90, C160",100pF,Device:C,hackrf:GSG-0402,~,CAP CER 100PF 50V 5% NP0 0402,Murata,,,GRM1555C1H101JA01D
17,2,"C169, C170",1.8pF,Device:C,hackrf:GSG-0402,~,CAP CER 1.8PF 25V C0G/NP0 0402,Murata,,,GRM1555C1E1R8BA01D
18,3,"D1, D3, D9",GSG-DIODE-TVS-BI,hackrf:GSG-DIODE-TVS-BI,hackrf:GSG-0402,,TVS DIODE ESD .05PF 15KV 0402,Murata,,,LXES15AAA1-100
19,2,"D2, D6",TXLED,Device:LED,gsg-modules:LTST-S220,~,LED SUPR RED CLR RT ANG 0805,Lite-On,,,LTST-S220KRKT
20,2,"D4, D7",VCCLED,Device:LED,gsg-modules:LTST-S220,~,LED GREEN CLEAR RT ANG 0805,Lite-On,,,LTST-S220KGKT
21,2,"D5, D8",1V8LED,Device:LED,gsg-modules:LTST-S220,~,LED YELLOW CLEAR RT ANG 0805,Lite-On,,,LTST-S220KSKT
22,3,"FB1, FB2, FB3",FILTER,hackrf-one-rescue:Ferrite_Bead_Small-Device,hackrf:GSG-0805,,FERRITE CHIP 220 OHM 2000MA 0805,Murata,,,BLM21PG221SN1D
23,1,J1,USB-MICRO-B,hackrf:GSG-USB-MICRO-B-SHIELDED,hackrf:GSG-USB-MICROB-FCI-10103592-EXT,,CONN RCPT REV MICRO USB TYPE B,FCI,,,10103592-0001LF
24,2,"L10, L11",4u7,Device:L,hackrf:GSG-NRG4026,~,INDUCTOR 4.7UH 1.6A 20% SMD,Taiyo Yuden,,,NRG4026T4R7M
25,5,"L2, L3, L5, L12, L13",10uH,Device:L,hackrf:GSG-0603,~,INDUCTR 10UH 220MA 20% 0603 SMD,Taiyo Yuden,,,BRL1608T100M
26,1,L7,6.2nH,Device:L,hackrf:GSG-0402,~,INDUCTOR HIFREQ 6.2+/-0.3NH 0402,Taiyo Yuden,,,HK10056N2S-T
27,3,"P2, P4, P16",ANTENNA,hackrf:GSG-RF-CONN,hackrf:GSG-SMA-73251-2120,,CONN SMA JACK 50 OHM EDGE MNT W/JAM NUT & LOCK WASHER,Molex,,,73251-2121
28,2,"P20, P28",SD,Connector_Generic:Conn_02x11_Odd_Even,hackrf:GSG-HEADER-2x11,~,"CONN HEADER FMAL 22PS.1"" DL GOLD",Sullins,,,PPPC112LFBN-RC
29,1,P22,I2S,Connector_Generic:Conn_02x13_Odd_Even,hackrf:GSG-HEADER-2x13,~,"CONN HEADER FMAL 26PS.1"" DL GOLD",Sullins,,,PPPC132LFBN-RC
30,1,P9,BASEBAND,Connector_Generic:Conn_02x08_Odd_Even,hackrf:GSG-HEADER-2x8,~,"CONN HEADER FMAL 16PS.1"" DL GOLD",Sullins,,,PPPC082LFBN-RC
31,3,"Q1, Q2, Q4",MOSFET_P,Device:Q_PMOS_GSD,gsg-modules:SOT23-3,~,MOSFET P-CH 50V 130MA SOT-23,Fairchild,,,BSS84
32,1,Q3,MOSFET_P,Device:Q_PMOS_GSD,gsg-modules:SOT23-3,~,MOSFET P-CH 20V 4.2A SOT-23,Diodes Inc.,,,DMP2305U-7
33,1,Q5,MOSFET_P,Device:Q_PMOS_GSD,gsg-modules:SOT23-3,~,MOSFET P-CH -30V -4.3A SOT23,Alpha and Omega,,,AO3407A
34,6,"R1, R2, R25, R26, R72, R75",470,Device:R,hackrf:GSG-0402,~,RES TF 1/16W 470 OHM 5% 0402,Stackpole,,,RMCF0402JT470R
35,6,"R8, R9, R10, R13, R73, R76",1k,Device:R,hackrf:GSG-0402,~,RES 1K OHM 1/16W 1% 0402,Stackpole,,,RMCF0402FT1K00
36,22,"R19, R30, R31, R32, R33, R34, R77, R78, R79, R80, R81, R86, R87, R88, R89, R90, R91, R94, R96, R98, R99, R100",39,Device:R,hackrf:GSG-0402,~,RES 39 OHM 1/16W 5% 0402 SMD,Stackpole,,,RMCF0402JT39R0
